ResourceName,URI
management:common:access,/enterprise/company/list-v2/*
management:common:access,/enterprise/company/select/*
management:common:access,/enterprise/web/camera/list-by-place/*
management:common:access,/ai/device/info/list/*
management:common:access,/enterprise/web/custom-view/list-by-place-v2/*
management:common:access,/enterprise/web/custom-view/create-v2/*
management:common:access,/enterprise/web/custom-view/remove-v2/*
management:common:access,/enterprise/web/custom-view/update-v2/*
management:common:access,/mngt-service/streaming/info/*
management:common:access,/channel/streaming-info/*
management:common:access,/mngt-service/details/*
management:common:access,/cloud/device/list/*
management:common:access,/cloud/moment/list/*
management:common:access,/cloud/playback/list/*
management:user:list_user,/uac/group/user/list/*
management:user:create,/uac/group/user/create/*
management:user:update,/uac/group/user/update/*
management:user:delete,/uac/group/user/delete/*
management:place:list,/uac/group/place/list/group-by/*
management:group:list,/uac/group/list/*
management:group:create,/uac/group/create/*
management:group:edit_information,/uac/group/update/*
management:group:remove,/uac/group/delete/*
management:place:create,/enterprise/des/place/create/*
management:place:edit,/enterprise/des/place/update/*
management:place:delete,/uac/group/place/delete/*
management:group:config,/uac/group/place/add/*
management:group:edit_information,/enterprise/des/place/detail/*
management:user:list_user,/uac/group/permission/list-v2/*
management:resource:map_user_to_resource,/uac/group/permission/assign/*
management:user:update,/uac/group/user/detail-v2/*
management:user:view_permission,/uac/group/permission/list-v2/*
