ResourceName,URI
management:common:access,/enterprise/company/list-v2/*
management:common:access,/enterprise/des/company-place/list-v3/*
management:common:access,/api/v2/enterprise/company/select/*
management:common:access,/enterprise/web/camera/list-by-place/*
management:common:access,/enterprise/des/camera/list-by-place-v4/*
management:common:access,/ai/device/info/list/*
management:common:access,/enterprise/des/device/detail/*
management:common:access,/enterprise/web/custom-view/list-by-place-v2/*
management:common:access,/enterprise/custom-view/list-by-place-v2/*
management:common:access,/enterprise/web/custom-view/create-v2/*
management:common:access,/enterprise/custom-view/create-v2/*
management:common:access,/enterprise/web/custom-view/remove-v2/*
management:common:access,/enterprise/custom-view/remove-v2/*
management:common:access,/enterprise/web/custom-view/update-v2/*
management:common:access,/enterprise/custom-view/update-v2/*
management:common:access,/mngt-service/streaming/info/*
management:common:access,/enterprise/des/camera/streaming-info/*
management:common:access,/channel/streaming-info/*
management:common:access,/enterprise/des/nvr/streaming-info/*
management:common:access,/mngt-service/details/*
management:common:access,/mngt-service/details/*
management:common:access,/cloud/device/list/*
management:common:access,/cloud/device/list/*
management:common:access,/cloud/moment/list/*
management:common:access,/cloud/moment/list/*
management:common:access,/cloud/playback/list/*
management:common:access,/cloud/playback/list/*
management:user:list_user,/uac/group/user/list/*
management:user:list_user,/uac/group/user/list/*
management:user:list_user,/uac/group/permission/list-v2/*
management:user:list_user,/uac/group/permission/list/*
management:user:create,/uac/group/user/create/*
management:user:create,/uac/group/user/create/*
management:user:update,/uac/group/user/update/*
management:user:update,/uac/group/user/update/*
management:user:update,/uac/group/user/detail-v2/*
management:user:update,/uac/group/user/detail/*
management:user:delete,/uac/group/user/delete/*
management:user:delete,/uac/group/user/delete/*
management:place:list,/uac/group/place/list/group-by/*
management:place:list,/uac/group/place/list/*
management:group:list,/uac/group/list/*
management:group:list,/uac/group/list/*
management:group:create,/uac/group/create/*
management:group:create,/uac/group/create/*
management:group:edit_information,/uac/group/update/*
management:group:edit_information,/uac/group/update/*
management:group:edit_information,/enterprise/des/place/detail/*
management:group:edit_information,/enterprise/des/place/detail/*
management:group:remove,/uac/group/delete/*
management:group:remove,/uac/group/delete/*
management:place:create,/enterprise/des/place/create/*
management:place:create,/enterprise/des/place/create/*
management:place:edit,/enterprise/des/place/update/*
management:place:edit,/enterprise/des/place/update/*
management:place:delete,/uac/group/place/delete/*
management:group:config,/uac/group/place/add/*
management:group:config,/uac/group/place/add/*
management:resource:map_user_to_resource,/uac/group/permission/assign/*
management:resource:map_user_to_resource,/uac/group/permission/assign/*
management:user:view_permission,/uac/group/permission/list-v2/*
management:user:view_permission,/uac/group/permission/list/*
config:add:camera,/enterprise/des/device/add/*
config:add:nvr,/enterprise/des/device/add/*
config:nvr:manual_cameratonvr,/enterprise/nvr/channel/device/add-manual/*
config:device:storage,/enterprise/des/camera/setting/sd-card/info/*
config:device:storage,/enterprise/des/nvr/storage/info/*
config:device:storage,/enterprise/des/nvr/storage/format/*
config:device:nightvision,/enterprise/camera/setting/night-vision/update-v2/*
config:device:watermark,/sme/camera/setting/watermark/change/*
config:device:rotate_image,/sme/camera/setting/rotate/update/*
config:device:autoalert,/sme/camera/setting/alert/change/*
config:device:guardzone,/sme/camera/setting/motion/zone/update/*
config:device:view_information,/mngt-service/info/*
config:device:view_information,/nvr-mngt-service/info/*
config:device:reboot,/enterprise/des/camera/setting/reboot/*
config:device:diagnose,/enterprise/des/camera/settings/diagnose-check/*
config:device:diagnose,/enterprise/des/nvr/settings/diagnose-check/*
config:device:channel,/enterprise/nvr/channel/device/update-manual/*
config:device:channel,/enterprise/des/nvr/channel/list/*
config:device:channel,/enterprise/des/nvr/channel/device/list/*
config:device:channel,/enterprise/nvr/channel/device/add/*
config:device:channel,/enterprise/nvr/channel/device/update-manual/*
config:device:channel,/enterprise/nvr/channel/device/details/extra/*
config:device:channel,/enterprise/nvr/channel/device/remove/*
config:device:update_firmware,/enterprise/des/camera/setting/check-fw/*
config:device:update_firmware,/enterprise/des/camera/setting/upgrade-fw/*
config:device:update_firmware,/enterprise/des/nvr/setting/check-fw/*
config:device:update_firmware,/enterprise/des/nvr/setting/upgrade-fw/*
config:device:remove,/sme/des/camera/remove/*
config:device:remove,/enterprise/des/nvr/remove/*
monitoring:people_couting:add_newchart,/people-counting/statistic/graph*
monitoring:people_couting:view,/people-counting/record/list/*
monitoring:people_couting:view,/people-counting/des/place/list/*
monitoring:people_couting:filter_data,/people-counting/place/list/*
monitoring:people_couting:export_data,/people-counting/record/export/*
monitoring:people_couting:export_data,/people-counting/record/download/*
monitoring:people_couting:export_data,/people-counting/des/record/export/*
config:people_couting:view_list_setting,/people-counting/account/list/*
config:people_couting:filter_data_type,/people-counting/place/list/*
config:people_couting:edit,/people-counting/playback/get/*
config:people_couting:edit,/people-counting/schedule/get/*
config:people_couting:edit,/people-counting/box/get/*
config:people_couting:edit,/people-counting/feature/set-up/*
config:face_recognition:view_list_setting,/face-service/service/list/*
config:face_recognition:filter_data_type,/face-service/service/filter-list/*
config:face_recognition:edit,/face-service/config/playback/get/*
config:face_recognition:edit,/face-service/config/schedule/get/*
config:face_recognition:edit,/face-service/config/box/get/*
config:face_recognition:edit,/face-service/config/face-resource/get/*
config:face_recognition:edit,/face-profile-management/restful-resource/*
config:face_recognition:edit,/face-service/service/config/*
